ID_Appareil,Marque,Modele,DateReception,Etat,DateMiseEnVente
APP_SAMPLE_001,Samsung,WW90T534DAW,2024-01-15,EN_TEST,
APP_SAMPLE_002,LG,F4WV510S0E,2024-01-20,RECONDITIONNE,
APP_SAMPLE_003,Bosch,WAT28441FF,2024-01-25,EN_REPARATION,
APP_SAMPLE_004,Whirlpool,FSCR12440,2024-02-01,EN_VENTE,2024-02-15
APP_SAMPLE_005,Electrolux,EW6F1408CI,2024-02-05,EN_TEST,
APP_SAMPLE_006,Beko,WTV8734XW,2024-02-10,IRREPARABLE,
APP_SAMPLE_007,Candy,CSO1410D3,2024-02-15,EN_TEST,
APP_SAMPLE_008,Hotpoint,AQUALTIS C 1040 D,2024-02-20,RECONDITIONNE,
APP_SAMPLE_009,Indesit,IWSC 61251,2024-02-25,EN_REPARATION,
APP_SAMPLE_010,Zanussi,ZWF01486SI,2024-03-01,EN_TEST, 